Play,Type,Bnt,Fl,Loc,B,Count,Probability,New Outs,Runs
Single,Fly,-,-,7S,1st,10,  0.03%,1,0
Generic out,Fly,-,-,4MD,Out,10,  0.03%,2,0
Generic out,Liner,-,-,4M,Out,10,  0.03%,2,0
Single,Grounder,-,-,6MS,1st,10,  0.03%,1,0
Generic out,Pop-up,-,-,5S,Out,9,  0.03%,2,0
Single,Liner,-,-,56D,1st,9,  0.03%,1,0
Triple,Grounder,-,-,3,3rd,9,  0.03%,1,0
Error,Grounder,-,-,3,1st,9,  0.03%,1,0
Generic out,Pop-up,-,Y,25F,Out,9,  0.03%,2,0
Single,Grounder,-,-,4S,1st,9,  0.03%,1,0
Single,Grounder,-,-,4MS,1st,8,  0.02%,1,0
Generic out,Liner,-,-,34D,Out,8,  0.02%,2,0
Single,Grounder,-,-,1S,1st,8,  0.02%,1,0
Double,Liner,-,-,9,2nd,8,  0.02%,1,0
Home run,Liner,-,-,7LD,Score,8,  0.02%,1,1
Generic out,Liner,-,-,3D,Out,8,  0.02%,2,0
Single,Liner,-,-,89XD,1st,8,  0.02%,1,0
Double,Grounder,-,-,56,2nd,8,  0.02%,1,0
Triple,Liner,-,-,9L,3rd,8,  0.02%,1,0
Triple,Fly,-,-,9LD,3rd,8,  0.02%,1,0
Generic out,Pop-up,-,-,25,Out,8,  0.02%,2,0
Double,Fly,-,-,9LS,2nd,8,  0.02%,1,0
Generic out,Fly,-,-,6MD,Out,8,  0.02%,2,0
Single,Grounder,-,-,3S,1st,7,  0.02%,1,0
Single,Grounder,-,-,34S,1st,7,  0.02%,1,0
Triple,Fly,-,-,78XD,3rd,7,  0.02%,1,0
Interference,-,-,-,-,1st,7,  0.02%,1,0
Error,Grounder,-,-,5,1st,7,  0.02%,1,0
Generic out,Pop-up,-,-,4MS,Out,7,  0.02%,2,0
Generic out,Pop-up,-,-,2,Out,7,  0.02%,2,0
Generic out,Fly,-,Y,9LDF,Out,7,  0.02%,2,0
Error,Grounder,-,-,1S,1st,7,  0.02%,1,0
Single,Liner,-,-,5D,1st,7,  0.02%,1,0
Double,Grounder,-,-,34,2nd,7,  0.02%,1,0
Home run,Liner,-,-,8XD,Score,6,  0.02%,1,1
Single,Fly,-,-,3D,1st,6,  0.02%,1,0
Double,Fly,-,-,5D,2nd,6,  0.02%,1,0
Error,Grounder,-,-,6D,1st,6,  0.02%,1,0
Generic out,Pop-up,-,-,9S,Out,6,  0.02%,2,0
Single,Liner,-,-,8XD,1st,6,  0.02%,1,0
Double,Fly,-,-,78D,2nd,6,  0.02%,1,0
Generic out,Fly,-,Y,5DF,Out,6,  0.02%,2,0
Generic out,Liner,-,-,1S,Out,6,  0.02%,2,0
Single,Grounder,Y,-,2,1st,6,  0.02%,1,0
Single,Liner,-,-,3D,1st,6,  0.02%,1,0
Single,Liner,-,-,4MD,1st,6,  0.02%,1,0
Single,Grounder,Y,-,56S,1st,6,  0.02%,1,0
Double,Liner,-,-,7,2nd,5,  0.02%,1,0
Generic out,Grounder,Y,-,25,Out,5,  0.02%,2,0
Error,Grounder,-,-,56,2nd,5,  0.02%,1,0
Triple,Liner,-,-,8XD,3rd,5,  0.02%,1,0
Triple,Fly,-,-,8XD,3rd,5,  0.02%,1,0
Triple,Liner,-,-,89D,3rd,5,  0.02%,1,0
Generic out,Pop-up,-,-,15,Out,5,  0.02%,2,0
Generic out,Liner,-,-,4MS,Out,5,  0.02%,2,0
Foul error,Pop-up,-,Y,-,Stays,5,  0.02%,1,0
Single,Grounder,-,-,13,1st,5,  0.02%,1,0
Generic out,Fly,-,Y,7LDF,Out,5,  0.02%,2,0
Error,Grounder,-,-,6M,1st,5,  0.02%,1,0
Home run,Liner,-,-,9LD,Score,5,  0.02%,1,1
Generic out,Liner,-,-,1,Out,5,  0.02%,2,0
Single,Grounder,-,-,1,1st,5,  0.02%,1,0
Generic out,Pop-up,-,-,1,Out,4,  0.01%,2,0
Single,Fly,-,-,7L,1st,4,  0.01%,1,0
Error,Grounder,-,-,6,2nd,4,  0.01%,1,0
Single,Grounder,Y,-,23,1st,4,  0.01%,1,0
Single,Liner,-,-,4D,1st,4,  0.01%,1,0
Generic out,Liner,-,-,13,Out,4,  0.01%,2,0
Generic out,Liner,-,-,6MS,Out,4,  0.01%,2,0
Single,Liner,-,-,6,1st,4,  0.01%,1,0
Single,Liner,-,-,9LD,Out,4,  0.01%,2,0
Single,Grounder,-,-,15,1st,4,  0.01%,1,0
Double,Grounder,-,-,6M,2nd,4,  0.01%,1,0
Double,Fly,-,-,9L,2nd,4,  0.01%,1,0
Generic out,Fly,-,Y,3DF,Out,4,  0.01%,2,0
Generic out,Pop-up,-,-,13,Out,4,  0.01%,2,0
Single,Grounder,-,-,5,Out,4,  0.01%,2,0
Triple,Liner,-,-,78XD,3rd,4,  0.01%,1,0
Single,Liner,-,-,78XD,1st,4,  0.01%,1,0
Single,Grounder,-,-,56,2nd,3,  0.01%,1,0
Generic out,Grounder,-,-,34,1st,3,  0.01%,1,0
Generic out,Grounder,Y,-,15,Out,3,  0.01%,2,0
Double,Grounder,-,-,4,2nd,3,  0.01%,1,0
Single,Grounder,-,-,3,2nd,3,  0.01%,1,0
Single,Liner,-,-,1,1st,3,  0.01%,1,0
Single,Grounder,-,-,5,2nd,3,  0.01%,1,0
Single,Grounder,-,-,3,Out,3,  0.01%,2,0
Double,Liner,-,-,8,2nd,3,  0.01%,1,0
Generic out,Liner,-,-,56S,Out,3,  0.01%,2,0
Double,Fly,-,-,78S,2nd,3,  0.01%,1,0
Single,Grounder,-,-,6,2nd,3,  0.01%,1,0
Error,Liner,-,-,7D,2nd,3,  0.01%,1,0
Single,Pop-up,-,-,89S,1st,3,  0.01%,1,0
Single,Liner,-,-,7D,Out,3,  0.01%,2,0
Error,Grounder,-,-,4MD,1st,3,  0.01%,1,0
Generic out,Liner,-,-,7S,Out,3,  0.01%,2,0
Single,Liner,-,-,34,1st,3,  0.01%,1,0
Single,Grounder,-,-,34,2nd,3,  0.01%,1,0
Triple,Liner,-,-,9LS,3rd,3,  0.01%,1,0
Double,Liner,-,-,8D,2nd,3,  0.01%,1,0
Generic out,Grounder,Y,-,23,Out,3,  0.01%,2,0
Double,Fly,-,-,89S,2nd,3,  0.01%,1,0
Single,Liner,-,-,9L,Out,3,  0.01%,2,0
Single,Liner,-,-,6MS,1st,3,  0.01%,1,0
Single,Grounder,Y,-,5S,1st,3,  0.01%,1,0
Single,Grounder,-,-,23,1st,3,  0.01%,1,0
Generic out,Liner,-,-,4S,Out,3,  0.01%,2,0
Single,Fly,-,-,34D,1st,3,  0.01%,1,0
Error,Grounder,-,-,23,1st,3,  0.01%,1,0
Generic out,Grounder,Y,-,56S,Out,3,  0.01%,2,0
Generic out,Grounder,-,-,56S,1st,2,  0.01%,1,0
Error,Grounder,-,-,5D,1st,2,  0.01%,1,0
Single,Grounder,-,-,4,2nd,2,  0.01%,1,0
Double,Liner,-,-,7S,2nd,2,  0.01%,1,0
Double,Liner,-,-,6D,2nd,2,  0.01%,1,0
Single,Grounder,-,-,4MS,2nd,2,  0.01%,1,0
Triple,Liner,-,-,7D,3rd,2,  0.01%,1,0
Single,Liner,-,-,1S,1st,2,  0.01%,1,0
Single,Grounder,-,-,6,Out,2,  0.01%,2,0
Double,Grounder,-,-,3,3rd,2,  0.01%,1,0
Generic out,Liner,-,-,8S,Out,2,  0.01%,2,0
Single,Liner,-,-,78,Out,2,  0.01%,2,0
Error,Grounder,-,-,4D,1st,2,  0.01%,1,0
Single,Grounder,Y,-,56S,2nd,2,  0.01%,1,0
Double,Fly,-,-,78,2nd,2,  0.01%,1,0
Error,Fly,-,-,89XD,2nd,2,  0.01%,1,0
Error,Grounder,-,-,34S,1st,2,  0.01%,1,0
Generic out,Grounder,Y,-,6S,Out,2,  0.01%,2,0
Single,Liner,-,-,9LS,Out,2,  0.01%,2,0
Single,Fly,-,-,9L,1st,2,  0.01%,1,0
Error,Fly,-,-,78,2nd,2,  0.01%,1,0
Triple,Liner,-,-,9,3rd,2,  0.01%,1,0
Single,Liner,-,-,4MS,1st,2,  0.01%,1,0
Single,Grounder,Y,-,34S,1st,2,  0.01%,1,0
Double,Liner,-,-,56D,2nd,2,  0.01%,1,0
Double,Liner,-,-,89S,2nd,2,  0.01%,1,0
Error,Grounder,-,-,15,1st,2,  0.01%,1,0
Generic out,Grounder,-,-,3,1st,2,  0.01%,1,0
Generic out,Fly,-,Y,5F,Out,2,  0.01%,2,0
Single,Grounder,-,-,6M,2nd,2,  0.01%,1,0
Double,Liner,-,-,78S,2nd,2,  0.01%,1,0
Triple,Liner,-,-,78D,3rd,2,  0.01%,1,0
Generic out,Pop-up,-,-,7LS,Out,2,  0.01%,2,0
Triple,Liner,-,-,8D,3rd,2,  0.01%,1,0
Double,Fly,-,-,89,2nd,2,  0.01%,1,0
Triple,Fly,-,-,7LD,3rd,2,  0.01%,1,0
Single,Grounder,-,-,25,2nd,2,  0.01%,1,0
Single,Fly,-,-,9,1st,2,  0.01%,1,0
Generic out,Pop-up,-,-,7S,Out,2,  0.01%,2,0
Error,Grounder,-,-,7S,1st,2,  0.01%,1,0
Double,Fly,-,-,8,2nd,2,  0.01%,1,0
Single,Pop-up,-,-,34D,1st,2,  0.01%,1,0
Error,Grounder,-,-,34D,1st,2,  0.01%,1,0
Double,Fly,-,-,89D,2nd,2,  0.01%,1,0
Single,Fly,-,-,9D,Out,2,  0.01%,2,0
Error,Grounder,-,-,5,2nd,2,  0.01%,1,0
Single,Fly,-,-,56D,1st,2,  0.01%,1,0
Single,Grounder,-,-,1S,2nd,2,  0.01%,1,0
Single,Liner,-,-,56,1st,2,  0.01%,1,0
Error,Grounder,-,-,3,2nd,2,  0.01%,1,0
Single,Fly,-,-,5D,1st,2,  0.01%,1,0
Double,Liner,-,-,8D,3rd,1,  0.00%,1,0
Error,Fly,-,-,8XD,3rd,1,  0.00%,1,0
Single,Fly,-,-,9LD,1st,1,  0.00%,1,0
Single,Grounder,Y,-,1S,2nd,1,  0.00%,1,0
Home run,Liner,-,-,89D,Score,1,  0.00%,1,1
Generic out,Grounder,-,-,6,1st,1,  0.00%,1,0
Generic out,Grounder,-,-,56,1st,1,  0.00%,1,0
Double,Liner,-,-,8XD,3rd,1,  0.00%,1,0
Double,Grounder,-,-,4M,2nd,1,  0.00%,1,0
Generic out,Grounder,Y,-,3,Out,1,  0.00%,2,0
Triple,Fly,-,-,8XD,Score,1,  0.00%,1,1
Error,Grounder,-,-,4M,1st,1,  0.00%,1,0
Single,Liner,-,-,2,1st,1,  0.00%,1,0
Single,Liner,-,-,78XD,2nd,1,  0.00%,1,0
Double,Liner,-,-,5,2nd,1,  0.00%,1,0
Error,Pop-up,-,-,6,2nd,1,  0.00%,1,0
Error,Grounder,-,-,13,2nd,1,  0.00%,1,0
Error,Grounder,-,-,56S,1st,1,  0.00%,1,0
Single,Grounder,Y,-,23,3rd,1,  0.00%,1,0
Single,Pop-up,-,-,5S,1st,1,  0.00%,1,0
Single,Fly,-,-,9D,1st,1,  0.00%,1,0
Single,Grounder,-,-,13,2nd,1,  0.00%,1,0
Error,Grounder,-,-,56D,1st,1,  0.00%,1,0
Double,Liner,-,-,9LD,Out,1,  0.00%,2,0
Double,Grounder,-,-,2,2nd,1,  0.00%,1,0
Generic out,Pop-up,Y,Y,3SF,Out,1,  0.00%,2,0
Single,Pop-up,-,-,8S,1st,1,  0.00%,1,0
Error,Grounder,-,-,8S,1st,1,  0.00%,1,0
Generic out,Grounder,-,-,6M,1st,1,  0.00%,1,0
Foul error,Fly,-,Y,-,Stays,1,  0.00%,1,0
Error,Grounder,-,-,9LD,2nd,1,  0.00%,1,0
Error,Grounder,-,-,34,2nd,1,  0.00%,1,0
Double,Grounder,-,-,5D,2nd,1,  0.00%,1,0
Home run,Fly,-,-,7,Score,1,  0.00%,1,1
Double,Fly,-,-,7,2nd,1,  0.00%,1,0
Double,Fly,-,-,5D,3rd,1,  0.00%,1,0
Triple,Fly,-,-,8D,3rd,1,  0.00%,1,0
Generic out,Grounder,Y,-,34,Out,1,  0.00%,2,0
Error,Fly,-,-,9LS,2nd,1,  0.00%,1,0
Generic out,Grounder,Y,-,3S,Out,1,  0.00%,2,0
Generic out,Liner,-,-,7LS,Out,1,  0.00%,2,0
Generic out,Grounder,Y,-,5S,Out,1,  0.00%,2,0
Double,Liner,-,-,34D,2nd,1,  0.00%,1,0
Error,Fly,-,-,9LD,2nd,1,  0.00%,1,0
Error,Pop-up,-,-,5,2nd,1,  0.00%,1,0
Triple,Fly,-,-,7LS,3rd,1,  0.00%,1,0
Single,Liner,-,-,89D,2nd,1,  0.00%,1,0
Single,Fly,-,-,7D,1st,1,  0.00%,1,0
Generic out,Pop-up,-,Y,9LSF,Out,1,  0.00%,2,0
Generic out,Liner,Y,-,3S,Out,1,  0.00%,2,0
Generic out,Liner,-,-,78S,Out,1,  0.00%,2,0
Error,Liner,-,-,78,1st,1,  0.00%,1,0
Single,Liner,-,-,89XD,Out,1,  0.00%,2,0
Single,Liner,-,-,89D,Out,1,  0.00%,2,0
Single,Liner,-,-,78S,3rd,1,  0.00%,1,0
Generic out,Pop-up,Y,Y,25F,Out,1,  0.00%,2,0
Double,Liner,-,-,9LS,3rd,1,  0.00%,1,0
Single,Pop-up,-,-,34S,1st,1,  0.00%,1,0
Generic out,Grounder,-,-,89S,Out,1,  0.00%,2,0
Single,Fly,-,-,7LS,Out,1,  0.00%,2,0
Error,Grounder,-,-,89S,2nd,1,  0.00%,1,0
Single,Grounder,-,-,2,2nd,1,  0.00%,1,0
Single,Grounder,-,-,6S,Out,1,  0.00%,2,0
Generic out,Fly,-,-,4,Out,1,  0.00%,2,0
