Play,Type,Bnt,Fl,Loc,B,Count,Probability,New Outs,Runs
Generic out,Fly,-,Y,9LSF,Out,28,  0.06%,1,0
Double,Fly,-,-,9D,2nd,28,  0.06%,0,0
Generic out,Pop-up,-,-,34S,Out,28,  0.06%,1,0
Single,Grounder,Y,-,25,1st,28,  0.06%,0,0
Single,Grounder,-,-,2,1st,28,  0.06%,0,0
Generic out,Pop-up,-,-,8S,Out,28,  0.06%,1,0
Single,Fly,-,-,78S,1st,27,  0.06%,0,0
Single,Fly,-,-,8,1st,27,  0.06%,0,0
Single,Fly,-,-,9LS,1st,27,  0.06%,0,0
Generic out,Liner,-,-,7L,Out,26,  0.06%,1,0
Single,Liner,-,-,9LD,1st,26,  0.06%,0,0
Error,Grounder,-,-,5,1st,26,  0.06%,0,0
Generic out,Pop-up,-,-,3S,Out,26,  0.06%,1,0
Generic out,Pop-up,-,-,6M,Out,26,  0.06%,1,0
Generic out,Fly,-,-,4D,Out,25,  0.06%,1,0
Home run,Liner,-,-,7D,Score,24,  0.05%,0,1
Generic out,Liner,-,-,56D,Out,24,  0.05%,1,0
Generic out,Fly,-,Y,7LSF,Out,24,  0.05%,1,0
Single,Grounder,-,-,6MS,1st,24,  0.05%,0,0
Single,Fly,-,-,89,1st,23,  0.05%,0,0
Generic out,Pop-up,-,-,6S,Out,23,  0.05%,1,0
Generic out,Pop-up,-,-,4M,Out,22,  0.05%,1,0
Home run,Liner,-,-,89XD,Score,22,  0.05%,0,1
Generic out,Liner,-,-,6M,Out,22,  0.05%,1,0
Generic out,Pop-up,-,-,1S,Out,22,  0.05%,1,0
Generic out,Grounder,-,-,5D,Out,22,  0.05%,1,0
Error,Grounder,-,-,34,1st,22,  0.05%,0,0
Generic out,Fly,-,Y,9LF,Out,21,  0.05%,1,0
Generic out,Grounder,Y,-,2,Out,21,  0.05%,1,0
Single,Fly,-,-,7S,1st,21,  0.05%,0,0
Single,Grounder,-,-,1S,1st,21,  0.05%,0,0
Generic out,Pop-up,-,-,6MS,Out,21,  0.05%,1,0
Generic out,Pop-up,-,-,78S,Out,20,  0.04%,1,0
Double,Liner,-,-,89,2nd,20,  0.04%,0,0
Double,Liner,-,-,78,2nd,20,  0.04%,0,0
Generic out,Pop-up,-,-,4MS,Out,20,  0.04%,1,0
Strikeout,-,-,-,-,1st,20,  0.04%,0,0
Single,Liner,-,-,56D,1st,19,  0.04%,0,0
Generic out,Liner,-,-,4MS,Out,19,  0.04%,1,0
Generic out,Pop-up,-,-,25,Out,19,  0.04%,1,0
Generic out,Liner,-,-,7LD,Out,19,  0.04%,1,0
Generic out,Grounder,-,-,25,Out,18,  0.04%,1,0
Generic out,Liner,-,-,9LD,Out,18,  0.04%,1,0
Generic out,Fly,-,-,6MD,Out,18,  0.04%,1,0
Generic out,Pop-up,-,-,23,Out,18,  0.04%,1,0
Triple,Liner,-,-,9LD,3rd,18,  0.04%,0,0
Generic out,Pop-up,-,-,5S,Out,18,  0.04%,1,0
Generic out,Fly,-,-,3D,Out,17,  0.04%,1,0
Home run,Liner,-,-,78XD,Score,17,  0.04%,0,1
Triple,Liner,-,-,89XD,3rd,17,  0.04%,0,0
Home run,Liner,-,-,9D,Score,17,  0.04%,0,1
Double,Fly,-,-,7LS,2nd,17,  0.04%,0,0
Double,Fly,-,-,9LS,2nd,16,  0.04%,0,0
Single,Grounder,Y,-,2,1st,16,  0.04%,0,0
Single,Fly,-,-,7LS,1st,16,  0.04%,0,0
Generic out,Fly,-,Y,7LF,Out,15,  0.03%,1,0
Triple,Fly,-,-,8XD,3rd,15,  0.03%,0,0
Triple,Fly,-,-,89XD,3rd,15,  0.03%,0,0
Generic out,Fly,-,Y,3DF,Out,15,  0.03%,1,0
Single,Fly,-,-,78,1st,14,  0.03%,0,0
Generic out,Fly,-,-,5D,Out,14,  0.03%,1,0
Generic out,Pop-up,-,-,2,Out,14,  0.03%,1,0
Home run,Liner,-,-,7LD,Score,14,  0.03%,0,1
Home run,Liner,-,-,9LD,Score,14,  0.03%,0,1
Double,Grounder,-,-,56,2nd,13,  0.03%,0,0
Generic out,Liner,-,-,4M,Out,13,  0.03%,1,0
Error,Grounder,-,-,4,1st,13,  0.03%,0,0
Generic out,Pop-up,-,-,89S,Out,13,  0.03%,1,0
Generic out,Grounder,Y,-,1S,Out,13,  0.03%,1,0
Single,Liner,-,-,34D,1st,12,  0.03%,0,0
Single,Grounder,-,-,4MS,1st,12,  0.03%,0,0
Error,Grounder,-,-,3,1st,12,  0.03%,0,0
Single,Liner,-,-,6D,1st,12,  0.03%,0,0
Single,Grounder,-,-,15,1st,12,  0.03%,0,0
Generic out,Pop-up,-,Y,25F,Out,12,  0.03%,1,0
Triple,Grounder,-,-,3,3rd,11,  0.02%,0,0
Double,Liner,-,-,3D,2nd,11,  0.02%,0,0
Double,Liner,-,-,8D,2nd,11,  0.02%,0,0
Generic out,Pop-up,-,Y,23F,Out,11,  0.02%,1,0
Generic out,Fly,-,-,4MD,Out,11,  0.02%,1,0
Triple,Liner,-,-,8XD,3rd,11,  0.02%,0,0
Generic out,Liner,-,-,5D,Out,11,  0.02%,1,0
Interference,-,-,-,-,1st,11,  0.02%,0,0
Generic out,Grounder,Y,-,23,Out,10,  0.02%,1,0
Single,Fly,-,-,3D,1st,10,  0.02%,0,0
Generic out,Liner,-,-,13,Out,10,  0.02%,1,0
Single,Liner,-,-,8XD,1st,10,  0.02%,0,0
Single,Liner,-,-,89XD,1st,10,  0.02%,0,0
Generic out,Pop-up,-,-,15,Out,10,  0.02%,1,0
Triple,Fly,-,-,78XD,3rd,10,  0.02%,0,0
Double,Fly,-,-,7L,2nd,10,  0.02%,0,0
Error,Grounder,-,-,6M,1st,10,  0.02%,0,0
Home run,Liner,-,-,8XD,Score,10,  0.02%,0,1
Single,Grounder,-,-,4S,1st,10,  0.02%,0,0
Triple,Liner,-,-,9L,3rd,9,  0.02%,0,0
Single,Grounder,-,-,13,1st,9,  0.02%,0,0
Double,Grounder,-,-,4,2nd,9,  0.02%,0,0
Generic out,Fly,-,Y,5DF,Out,9,  0.02%,1,0
Single,Grounder,-,-,34S,1st,9,  0.02%,0,0
Double,Liner,-,-,5D,2nd,9,  0.02%,0,0
Single,Grounder,-,-,23,1st,9,  0.02%,0,0
Double,Fly,-,-,78D,2nd,9,  0.02%,0,0
Generic out,Pop-up,-,-,9S,Out,9,  0.02%,1,0
Error,Grounder,-,-,56S,1st,9,  0.02%,0,0
Generic out,Liner,-,-,9S,Out,8,  0.02%,1,0
Triple,Liner,-,-,7LD,3rd,8,  0.02%,0,0
Generic out,Liner,-,-,1S,Out,8,  0.02%,1,0
Triple,Liner,-,-,78XD,3rd,8,  0.02%,0,0
Double,Grounder,-,-,6,2nd,8,  0.02%,0,0
Triple,Fly,-,-,9LD,3rd,8,  0.02%,0,0
Foul error,Pop-up,-,Y,-,Stays,8,  0.02%,0,0
Triple,Fly,-,-,9D,3rd,8,  0.02%,0,0
Generic out,Liner,-,-,1,Out,8,  0.02%,1,0
Generic out,Fly,-,Y,7LDF,Out,8,  0.02%,1,0
Double,Liner,-,-,7,2nd,8,  0.02%,0,0
Single,Grounder,Y,-,34S,1st,8,  0.02%,0,0
Generic out,Grounder,Y,-,25,Out,8,  0.02%,1,0
Error,Grounder,-,-,6D,1st,7,  0.02%,0,0
Single,Liner,-,-,4D,1st,7,  0.02%,0,0
Single,Grounder,Y,-,56S,1st,7,  0.02%,0,0
Single,Liner,-,-,5D,1st,7,  0.02%,0,0
Generic out,Pop-up,-,-,7S,Out,7,  0.02%,1,0
Generic out,Liner,-,-,7S,Out,7,  0.02%,1,0
Single,Liner,-,-,3D,1st,7,  0.02%,0,0
Generic out,Pop-up,-,-,1,Out,6,  0.01%,1,0
Generic out,Grounder,Y,-,34S,Out,6,  0.01%,1,0
Single,Fly,-,-,9,1st,6,  0.01%,0,0
Generic out,Pop-up,-,-,13,Out,6,  0.01%,1,0
Single,Liner,-,-,1,1st,6,  0.01%,0,0
Single,Liner,-,-,6,1st,6,  0.01%,0,0
Triple,Liner,-,-,89D,3rd,6,  0.01%,0,0
Single,Liner,-,-,78XD,1st,6,  0.01%,0,0
Double,Fly,-,-,5D,2nd,5,  0.01%,0,0
Triple,Liner,-,-,9LS,3rd,5,  0.01%,0,0
Single,Grounder,-,-,3S,1st,5,  0.01%,0,0
Generic out,Grounder,Y,-,3S,Out,5,  0.01%,1,0
Single,Grounder,-,-,4,2nd,5,  0.01%,0,0
Double,Fly,-,-,9L,2nd,5,  0.01%,0,0
Double,Fly,-,-,8S,2nd,5,  0.01%,0,0
Error,Grounder,-,-,1S,1st,5,  0.01%,0,0
Single,Fly,-,-,7L,1st,5,  0.01%,0,0
Generic out,Liner,-,-,3D,Out,5,  0.01%,1,0
Double,Fly,-,-,89S,2nd,5,  0.01%,0,0
Single,Fly,-,-,9L,1st,5,  0.01%,0,0
Single,Liner,-,-,4MD,1st,5,  0.01%,0,0
Error,Grounder,-,-,56,2nd,4,  0.01%,0,0
Single,Fly,-,-,34D,1st,4,  0.01%,0,0
Triple,Fly,-,-,9L,3rd,4,  0.01%,0,0
Single,Liner,-,-,13,1st,4,  0.01%,0,0
Single,Grounder,Y,-,5S,1st,4,  0.01%,0,0
Single,Pop-up,-,-,3D,1st,4,  0.01%,0,0
Single,Liner,-,-,78D,2nd,4,  0.01%,0,0
Double,Fly,-,-,7,2nd,4,  0.01%,0,0
Error,Grounder,-,-,6S,1st,4,  0.01%,0,0
Single,Grounder,-,-,5,Out,4,  0.01%,1,0
Single,Liner,-,-,56,1st,4,  0.01%,0,0
Generic out,Liner,-,-,56S,Out,4,  0.01%,1,0
Single,Liner,-,-,7LD,Out,4,  0.01%,1,0
Error,Grounder,-,-,6,2nd,4,  0.01%,0,0
Single,Fly,-,-,56D,1st,4,  0.01%,0,0
Single,Fly,-,-,9LD,1st,4,  0.01%,0,0
Single,Liner,-,-,9D,Out,4,  0.01%,1,0
Double,Liner,-,-,7S,2nd,4,  0.01%,0,0
Double,Fly,-,-,89,2nd,4,  0.01%,0,0
Error,Fly,-,-,89XD,2nd,3,  0.01%,0,0
Error,Grounder,-,-,3,2nd,3,  0.01%,0,0
Error,Grounder,-,-,56D,1st,3,  0.01%,0,0
Generic out,Pop-up,Y,Y,2F,Out,3,  0.01%,1,0
Single,Grounder,Y,-,25,2nd,3,  0.01%,0,0
Double,Grounder,-,-,3S,2nd,3,  0.01%,0,0
Double,Pop-up,-,-,5D,2nd,3,  0.01%,0,0
Single,Liner,-,-,7,Out,3,  0.01%,1,0
Generic out,Liner,-,-,6MS,Out,3,  0.01%,1,0
Double,Liner,-,-,5,2nd,3,  0.01%,0,0
Double,Liner,-,-,9S,2nd,3,  0.01%,0,0
Single,Fly,-,-,9D,1st,3,  0.01%,0,0
Double,Fly,-,-,9,2nd,3,  0.01%,0,0
Single,Grounder,-,-,1,1st,3,  0.01%,0,0
Double,Fly,-,-,78,2nd,3,  0.01%,0,0
Double,Grounder,-,-,34,2nd,3,  0.01%,0,0
Error,Grounder,-,-,4M,1st,3,  0.01%,0,0
Error,Fly,-,-,9LD,2nd,3,  0.01%,0,0
Single,Grounder,Y,-,34,1st,3,  0.01%,0,0
Single,Grounder,Y,-,23,1st,3,  0.01%,0,0
Single,Grounder,-,-,34,2nd,3,  0.01%,0,0
Single,Pop-up,-,-,5D,1st,3,  0.01%,0,0
Generic out,Fly,-,Y,5F,Out,3,  0.01%,1,0
Generic out,Grounder,Y,-,56S,Out,3,  0.01%,1,0
Generic out,Fly,-,Y,9LDF,Out,3,  0.01%,1,0
Double,Liner,-,-,9,2nd,3,  0.01%,0,0
Single,Liner,-,-,4M,1st,3,  0.01%,0,0
Single,Fly,-,-,3D,Out,3,  0.01%,1,0
Single,Liner,-,-,1S,1st,3,  0.01%,0,0
Double,Liner,-,-,8,2nd,3,  0.01%,0,0
Triple,Liner,-,-,9D,3rd,2,  0.00%,0,0
Error,Grounder,-,-,5D,1st,2,  0.00%,0,0
Error,Liner,-,-,8D,1st,2,  0.00%,0,0
Generic out,Grounder,-,-,56,1st,2,  0.00%,0,0
Error,Grounder,-,-,15,2nd,2,  0.00%,0,0
Error,Grounder,-,-,13,1st,2,  0.00%,0,0
Double,Grounder,-,-,6M,2nd,2,  0.00%,0,0
Generic out,Pop-up,-,Y,9LSF,Out,2,  0.00%,1,0
Double,Fly,-,-,78XD,Out,2,  0.00%,1,0
Single,Grounder,-,-,2,2nd,2,  0.00%,0,0
Single,Liner,-,-,6MD,1st,2,  0.00%,0,0
Error,Grounder,-,-,1S,2nd,2,  0.00%,0,0
Single,Liner,-,-,4,1st,2,  0.00%,0,0
Single,Fly,-,-,6D,1st,2,  0.00%,0,0
Double,Fly,-,-,78XD,3rd,2,  0.00%,0,0
Double,Fly,-,-,7S,2nd,2,  0.00%,0,0
Triple,Fly,-,-,7D,3rd,2,  0.00%,0,0
Single,Liner,-,-,9LD,Out,2,  0.00%,1,0
Error,Grounder,-,-,34S,1st,2,  0.00%,0,0
Single,Liner,-,-,4MS,1st,2,  0.00%,0,0
Single,Fly,-,-,7,1st,2,  0.00%,0,0
Single,Fly,-,-,7D,1st,2,  0.00%,0,0
Generic out,Pop-up,-,Y,7LSF,Out,2,  0.00%,1,0
Triple,Fly,-,-,7LD,3rd,2,  0.00%,0,0
Error,Grounder,-,-,7S,1st,2,  0.00%,0,0
Error,Grounder,-,-,56S,2nd,2,  0.00%,0,0
Single,Fly,-,-,5D,1st,2,  0.00%,0,0
Single,Grounder,-,-,56,2nd,2,  0.00%,0,0
Error,Fly,-,-,89S,1st,2,  0.00%,0,0
Error,Grounder,-,-,1,1st,2,  0.00%,0,0
Single,Liner,-,-,78,2nd,2,  0.00%,0,0
Generic out,Pop-up,-,-,7LS,Out,2,  0.00%,1,0
Error,Grounder,-,-,8,1st,2,  0.00%,0,0
Double,Fly,-,-,89D,2nd,2,  0.00%,0,0
Single,Liner,-,-,7L,Out,2,  0.00%,1,0
Single,Liner,-,-,89S,2nd,2,  0.00%,0,0
Triple,Liner,-,-,7D,3rd,2,  0.00%,0,0
Generic out,Fly,-,Y,3F,Out,2,  0.00%,1,0
Generic out,Pop-up,Y,-,1S,Out,2,  0.00%,1,0
Error,Grounder,Y,-,1S,1st,2,  0.00%,0,0
Single,Liner,-,-,9L,Out,2,  0.00%,1,0
Single,Grounder,-,-,25,2nd,2,  0.00%,0,0
Error,Grounder,-,-,4MS,1st,2,  0.00%,0,0
Single,Liner,-,-,6S,1st,2,  0.00%,0,0
Generic out,Pop-up,-,-,9LS,Out,2,  0.00%,1,0
Generic out,Fly,-,-,5,Out,2,  0.00%,1,0
Single,Grounder,-,-,6,Out,2,  0.00%,1,0
Error,Grounder,-,-,4D,1st,2,  0.00%,0,0
Triple,Grounder,-,-,5,3rd,2,  0.00%,0,0
Single,Liner,-,-,78D,Out,2,  0.00%,1,0
Error,Grounder,-,-,5,2nd,2,  0.00%,0,0
Single,Liner,-,-,78XD,Out,2,  0.00%,1,0
Triple,Fly,-,-,7LS,3rd,2,  0.00%,0,0
Double,Liner,-,-,78S,2nd,2,  0.00%,0,0
Error,Grounder,Y,-,2,1st,2,  0.00%,0,0
Single,Grounder,Y,-,2,2nd,2,  0.00%,0,0
Single,Liner,-,-,4S,1st,2,  0.00%,0,0
Triple,Liner,-,-,9,3rd,2,  0.00%,0,0
Generic out,Liner,-,-,78S,Out,2,  0.00%,1,0
Single,Grounder,-,-,6,2nd,2,  0.00%,0,0
Single,Fly,-,-,89XD,1st,2,  0.00%,0,0
Single,Liner,-,-,89,Out,2,  0.00%,1,0
Single,Liner,-,-,7LS,Out,2,  0.00%,1,0
Triple,Liner,-,-,78D,3rd,2,  0.00%,0,0
Single,Grounder,-,-,6S,2nd,2,  0.00%,0,0
Single,Pop-up,-,-,34D,1st,2,  0.00%,0,0
Single,Liner,-,-,89D,Out,2,  0.00%,1,0
Single,Liner,-,-,8,2nd,1,  0.00%,0,0
Double,Pop-up,-,-,9LS,2nd,1,  0.00%,0,0
Double,Liner,-,-,7L,3rd,1,  0.00%,0,0
Generic out,Liner,-,-,5S,Out,1,  0.00%,1,0
Triple,Liner,-,-,8D,3rd,1,  0.00%,0,0
Triple,Fly,-,-,78D,3rd,1,  0.00%,0,0
Single,Fly,-,-,89D,1st,1,  0.00%,0,0
Generic out,Grounder,Y,-,4S,Out,1,  0.00%,1,0
Error,Grounder,-,-,7LD,2nd,1,  0.00%,0,0
Double,Fly,-,-,8D,2nd,1,  0.00%,0,0
Generic out,Grounder,-,-,7LD,Out,1,  0.00%,1,0
Single,Grounder,-,-,23,2nd,1,  0.00%,0,0
Triple,Fly,-,-,8D,3rd,1,  0.00%,0,0
Single,Grounder,-,-,6,3rd,1,  0.00%,0,0
Single,Liner,-,-,7L,2nd,1,  0.00%,0,0
Double,Liner,-,-,56,2nd,1,  0.00%,0,0
Error,Grounder,-,-,6S,2nd,1,  0.00%,0,0
Single,Liner,-,-,8S,2nd,1,  0.00%,0,0
Double,Liner,-,-,6,2nd,1,  0.00%,0,0
Single,Liner,-,-,89XD,Out,1,  0.00%,1,0
